"","Stage.diff","Stage.lwr","Stage.upr","Stage.p.adj"
"Stage_I-[Discrepancy]",53.5263953485592,-12087.9772016924,12195.0299923896,1
"Stage_IA-[Discrepancy]",24045.2749999997,-1922.98040119803,50013.5304011974,0.103590415057708
"StageII-[Discrepancy]",5536.27499999984,-20431.9804011979,31504.5304011976,0.999991159569391
"Stage_II-[Discrepancy]",-905.020625000292,-13889.1483255992,12079.1070755986,0.999999999997414
"Stage_IIA-[Discrepancy]",1618.25949438173,-10253.2034880846,13489.7224768481,0.999999974161635
"Stage_IIB-[Discrepancy]",-1205.26250000028,-17629.0292857512,15218.5042857506,0.999999999994569
"Stage_IIC-[Discrepancy]",-9517.15500000034,-35485.4104011981,16451.1004011974,0.995433107887691
"Stage_III-[Discrepancy]",2716.77499999972,-11506.6242622916,16940.1742622911,0.999997814347343
"Stage_IIIA-[Discrepancy]",-1716.94833333361,-19456.6439715961,16022.7473049289,0.99999999975199
"Stage_IIIB-[Discrepancy]",1344.84022727243,-10784.9154196571,13474.595874202,0.999999998414891
"Stage_IIIC-[Discrepancy]",-681.491800000294,-13189.4599383906,11826.47633839,1
"Stage_IV-[Discrepancy]",90.3809090906088,-12534.6690469321,12715.4308651134,1
"Stage_IVA-[Discrepancy]",936.25499999971,-12047.8727005992,13920.3827005986,0.999999999995765
"Stage_IVB-[Discrepancy]",5077.51999999971,-15037.4041397802,25192.4441397796,0.999929164839186
"Stage_IA-Stage_I",23991.7486046511,496.50902838675,47486.9881809155,0.0399773112632767
"StageII-Stage_I",5482.74860465128,-18012.4909716131,28977.9881809157,0.999972780060474
"Stage_II-Stage_I",-958.547020348851,-7760.27961651022,5843.18557581252,0.99999995966728
"Stage_IIA-Stage_I",1564.73309903317,-2748.92283396544,5878.38903203179,0.995886141941785
"Stage_IIB-Stage_I",-1258.78889534884,-13400.2924923898,10882.7147016922,0.999999999364757
"Stage_IIC-Stage_I",-9570.68139534889,-33065.9209716133,13924.5581809155,0.987221237796717
"Stage_III-Stage_I",2663.24860465116,-6279.9656239568,11606.4628332591,0.999510143211294
"Stage_IIIA-Stage_I",-1770.47472868217,-15640.32676475,12099.3773073857,0.999999989312859
"Stage_IIIB-Stage_I",1291.31383192388,-3689.34538332503,6271.97304717278,0.999902404278586
"Stage_IIIC-Stage_I",-735.018195348854,-6576.70126747892,5106.66487678122,0.999999991199937
"Stage_IV-Stage_I",36.8545137420497,-6051.4852070928,6125.1942345769,1
"Stage_IVA-Stage_I",882.728604651151,-5919.00399151022,7684.46120081252,0.999999986643656
"Stage_IVB-Stage_I",5023.99360465115,-11777.3803663468,21825.3675756491,0.999486801317926
"StageII-Stage_IA",-18508.9999999999,-51356.5335715017,14338.5335715019,0.836223954011466
"Stage_II-Stage_IA",-24950.295625,-48891.8441399679,-1008.74711003213,0.0317965332346272
"Stage_IIA-Stage_IA",-22427.015505618,-45783.8519029807,929.820891744799,0.0747860088357979
"Stage_IIB-Stage_IA",-25250.5375,-51218.7929011977,717.71790119775,0.0663009165769662
"Stage_IIC-Stage_IA",-33562.43,-66409.9635715018,-714.89642849825,0.0397067133921916
"Stage_III-Stage_IA",-21328.5,-45964.1501786263,3307.15017862635,0.174955068698997
"Stage_IIIA-Stage_IA",-25762.2233333333,-52582.1221863732,1057.67551970659,0.0745130434527931
"Stage_IIIB-Stage_IA",-22700.4347727273,-46189.605579789,788.736034334441,0.0703356504996079
"Stage_IIIC-Stage_IA",-24726.7668,-48413.4601129149,-1040.0734870851,0.0311775859985839
"Stage_IV-Stage_IA",-23954.8940909091,-47703.6216261092,-206.166555708991,0.0456472553670683
"Stage_IVA-Stage_IA",-23109.02,-47050.5685149679,832.528514967871,0.0711713915351302
"Stage_IVB-Stage_IA",-18967.755,-47414.5535245827,9479.04352458274,0.604070561867553
"Stage_II-StageII",-6441.29562500013,-30382.844139968,17500.2528899677,0.999848601027477
"Stage_IIA-StageII",-3918.0155056181,-27274.8519029809,19438.8208917447,0.99999959500027
"Stage_IIB-StageII",-6741.53750000012,-32709.7929011979,19226.7179011976,0.999900860481041
"Stage_IIC-StageII",-15053.4300000002,-47900.963571502,17794.1035715016,0.963774836549794
"Stage_III-StageII",-2819.50000000011,-27455.1501786265,21816.1501786262,0.99999999755955
"Stage_IIIA-StageII",-7253.22333333344,-34073.1221863734,19566.6755197065,0.999839063808478
"Stage_IIIB-StageII",-4191.4347727274,-27680.6055797891,19297.7360343343,0.999999092777993
"Stage_IIIC-StageII",-6217.76680000013,-29904.460112915,17468.9265129148,0.999886871524095
"Stage_IV-StageII",-5445.89409090923,-29194.6216261093,18302.8334442909,0.999978058635154
"Stage_IVA-StageII",-4600.02000000013,-28541.568514968,19341.5285149677,0.999997642678824
"Stage_IVB-StageII",-458.755000000125,-28905.5535245829,27988.0435245826,1
"Stage_IIA-Stage_II",2523.28011938203,-3783.78655671976,8830.34679548381,0.989213564131959
"Stage_IIB-Stage_II",-300.241874999991,-13284.3695755989,12683.8858255989,1
