"","strata","time","n.risk","n.event","surv","std.err","lower","upper"
"1","TUfin$cluster=1",146,17,1,0.941176470588235,0.0570672058909019,0.835717288846709,1
"2","TUfin$cluster=1",228,16,1,0.882352941176471,0.0781424899005966,0.741751890629762,1
"3","TUfin$cluster=1",236,15,1,0.823529411764706,0.0924594409403971,0.660865168950524,1
"4","TUfin$cluster=1",293,14,1,0.764705882352941,0.102879368493554,0.587460143264406,0.995429380546065
"5","TUfin$cluster=1",306,13,1,0.705882352941177,0.110510169015026,0.51936365433106,0.959385378700677
"6","TUfin$cluster=1",383,12,1,0.647058823529412,0.115904043075739,0.455483629198491,0.919210031420935
"7","TUfin$cluster=1",389,11,1,0.588235294117647,0.119364624987269,0.39520768269978,0.87554158583635
"8","TUfin$cluster=1",494,10,1,0.529411764705882,0.121057824806477,0.338184558848181,0.82876881654085
"9","TUfin$cluster=1",588,9,1,0.470588235294118,0.121057824806477,0.284230890104662,0.779131666919405
"10","TUfin$cluster=1",607,8,1,0.411764705882353,0.119364624987269,0.233291071867258,0.726775232559495
"11","TUfin$cluster=1",743,7,1,0.352941176470588,0.115904043075739,0.185426661033485,0.671788368264627
"12","TUfin$cluster=1",758,6,1,0.294117647058824,0.110510169015026,0.140830017475237,0.614252500015699
"13","TUfin$cluster=1",1518,5,1,0.235294117647059,0.102879368493554,0.099869756671287,0.554355228695828
"14","TUfin$cluster=1",1678,4,1,0.176470588235294,0.0924594409403972,0.0631970044893223,0.492774440240636
"15","TUfin$cluster=1",1849,3,1,0.117647058823529,0.0781424899005966,0.032003944333079,0.432472644802136
"16","TUfin$cluster=1",2475,2,1,0.0588235294117647,0.0570672058909019,0.0087854555415608,0.393856368185777
"17","TUfin$cluster=1",2821,1,1,0,NA,NA,NA
"18","TUfin$cluster=2",49,49,1,0.979591836734694,0.0201988432369548,0.940792133456574,1
"19","TUfin$cluster=2",59,48,1,0.959183673469388,0.0282663548537395,0.90535221346616,1
"20","TUfin$cluster=2",93,47,1,0.938775510204082,0.0342488050276115,0.873992804433567,1
"21","TUfin$cluster=2",156,46,1,0.918367346938775,0.0391148917346902,0.844816237627742,0.998321938379927
"22","TUfin$cluster=2",159,45,1,0.897959183673469,0.043243139866447,0.817081110545935,0.986842903521257
"23","TUfin$cluster=2",179,44,1,0.877551020408163,0.0468290915574607,0.790404458318267,0.97430598387303
"24","TUfin$cluster=2",184,43,2,0.836734693877551,0.0528010795226671,0.739390361672747,0.946894880201635
"25","TUfin$cluster=2",206,41,1,0.816326530612245,0.0553168103819542,0.7147988781166,0.932274832799501
