"","strata","time","n.risk","n.event","surv","std.err","lower","upper"
"1","TU$cluster=1",43,25,1,0.96,0.0391918358845309,0.886178227299931,1
"2","TU$cluster=1",49,24,1,0.92,0.0542586398650021,0.819571219537333,1
"3","TU$cluster=1",59,23,1,0.88,0.0649923072370877,0.761407713059257,1
"4","TU$cluster=1",97,22,1,0.84,0.0733212111192934,0.70791371130579,0.996731647842331
"5","TU$cluster=1",153,21,1,0.8,0.08,0.657612156158711,0.973218019171682
"6","TU$cluster=1",156,20,1,0.76,0.0854166260162505,0.609742964189359,0.947284403302477
"7","TU$cluster=1",159,19,1,0.72,0.0897997772825746,0.563857045902138,0.91938196705619
"8","TU$cluster=1",172,18,1,0.68,0.0932952303175248,0.519666862870684,0.889800818635352
"9","TU$cluster=1",206,17,1,0.64,0.096,0.476979531312325,0.858737059162807
"10","TU$cluster=1",290,16,1,0.6,0.0979795897113271,0.435662942532619,0.826326879920584
"11","TU$cluster=1",357,15,1,0.56,0.0992773891679268,0.395627181324663,0.792665455770722
"12","TU$cluster=1",368,14,1,0.52,0.0999199679743744,0.356813884652258,0.757818043609837
"13","TU$cluster=1",424,13,1,0.48,0.0999199679743744,0.319190168678652,0.721826743454488
"14","TU$cluster=1",427,12,1,0.44,0.0992773891679268,0.282745503022173,0.68471469194266
"15","TU$cluster=1",442,11,1,0.4,0.0979795897113271,0.247490792543539,0.646488697036488
"16","TU$cluster=1",643,10,1,0.36,0.096,0.213459467934605,0.607141024260886
"17","TU$cluster=1",680,9,1,0.32,0.0932952303175248,0.180710844624174,0.566651106152274
"18","TU$cluster=1",715,8,1,0.28,0.0897997772825746,0.149336584219224,0.524988571353083
"19","TU$cluster=1",805,7,1,0.24,0.0854166260162505,0.119472071035532,0.482121047210015
"20","TU$cluster=1",1162,6,1,0.2,0.08,0.0913165254378529,0.438036815441721
"21","TU$cluster=1",1348,5,1,0.16,0.0733212111192934,0.0651704068598826,0.39281632927412
"22","TU$cluster=1",1422,4,1,0.12,0.0649923072370877,0.0415114889313195,0.346891917652597
"23","TU$cluster=1",1503,3,1,0.08,0.0542586398650021,0.0211727374517891,0.30227550946461
"24","TU$cluster=1",1910,2,1,0.04,0.0391918358845308,0.00586214034548162,0.272937853020397
"25","TU$cluster=1",3042,1,1,0,NA,NA,NA
"26","TU$cluster=2",179,16,1,0.9375,0.0605153647844909,0.826088265405492,1
"27","TU$cluster=2",228,15,1,0.875,0.0826797284707684,0.727071409585483,1
"28","TU$cluster=2",236,14,1,0.8125,0.097578093724975,0.642092165546349,1
"29","TU$cluster=2",334,13,1,0.75,0.108253175473055,0.565198373470312,0.995225793992038
"30","TU$cluster=2",383,12,1,0.6875,0.11587810136087,0.494086185891626,0.956627130036123
"31","TU$cluster=2",494,11,1,0.625,0.121030729568982,0.427607729804051,0.913512485330894
"32","TU$cluster=2",743,10,1,0.5625,0.124019592706153,0.365132278191676,0.86655239456508
"33","TU$cluster=2",758,9,1,0.5,0.125,0.306315955107295,0.816150761433342
"34","TU$cluster=2",858,8,1,0.4375,0.124019592706153,0.251006576478313,0.762554721415983
"35","TU$cluster=2",899,7,1,0.375,0.121030729568982,0.199208172323547,0.705919834310824
"36","TU$cluster=2",1094,6,1,0.3125,0.11587810136087,0.151083153750383,0.646374182533588
"37","TU$cluster=2",1518,5,1,0.25,0.108253175473055,0.106993877939369,0.584145571725304
"38","TU$cluster=2",1849,4,1,0.1875,0.097578093724975,0.0676117137735698,0.519972768590625
"39","TU$cluster=2",1881,3,1,0.125,0.0826797284707685,0.0341895286331397,0.457011272885897
"40","TU$cluster=2",2475,2,1,0.0625,0.0605153647844909,0.00936931126162752,0.416919652995012
"41","TU$cluster=2",2821,1,1,0,NA,NA,NA
