"","Stage.diff","Stage.lwr","Stage.upr","Stage.p.adj"
"Stage_I-[Discrepancy]",53.5263953484773,-11947.4472587097,12054.5000494067,1
"Stage_IA-[Discrepancy]",24045.2749999996,-1622.41487224815,49712.9648722474,0.0926270806964316
"Stage_II-[Discrepancy]",-526.12088235332,-13284.2492583365,12232.0074936299,1
"Stage_IIA-[Discrepancy]",1618.25949438165,-10115.7990881507,13352.318076914,0.999999905193562
"Stage_IIB-[Discrepancy]",-1205.26250000036,-17438.9349542282,15028.4099542275,0.999999999963156
"Stage_IIC-[Discrepancy]",-9517.1550000005,-35184.8448722483,16150.5348722473,0.992997310976316
"Stage_III-[Discrepancy]",2716.77499999963,-11341.9977420774,16775.5477420766,0.999994167372819
"Stage_IIIA-[Discrepancy]",-1716.94833333369,-19251.3186264565,15817.4219597892,0.999999998730898
"Stage_IIIB-[Discrepancy]",1344.84022727235,-10644.5214514938,13334.2019060385,0.999999992896875
"Stage_IIIC-[Discrepancy]",-681.491800000373,-13044.6884086316,11681.7048086309,0.999999999999369
"Stage_IV-[Discrepancy]",90.3809090905324,-12388.5423719043,12569.3041900854,1
"Stage_IVA-[Discrepancy]",936.254999999626,-11897.5899361243,13770.0999361235,0.999999999970618
"Stage_IVB-[Discrepancy]",5077.51999999963,-14804.5870821669,24959.6270821661,0.999852882606647
"Stage_IA-Stage_I",23991.7486046511,768.451020713292,47215.046188589,0.0353460448916589
"Stage_II-Stage_I",-579.647277701797,-7156.96336804672,5997.66881264312,0.999999999668579
"Stage_IIA-Stage_I",1564.73309903317,-2698.99509499419,5828.46129306054,0.993643290610853
"Stage_IIB-Stage_I",-1258.78889534884,-13259.7625494071,10742.1847587094,0.999999996960808
"Stage_IIC-Stage_I",-9570.68139534897,-32793.9789792868,13652.6161885889,0.981841326931553
"Stage_III-Stage_I",2663.24860465115,-6176.45378330345,11502.9509926058,0.999115688862782
"Stage_IIIA-Stage_I",-1770.47472868217,-15479.7923218592,11938.8428644948,0.99999995822664
"Stage_IIIB-Stage_I",1291.31383192387,-3631.69751871408,6214.32518256183,0.999801947786238
"Stage_IIIC-Stage_I",-735.01819534885,-6509.08761629572,5039.05122559802,0.99999996512079
"Stage_IV-Stage_I",36.8545137420551,-5981.01666693297,6054.72569441708,1
"Stage_IVA-Stage_I",882.728604651149,-5840.27839658838,7605.73560589068,0.999999948620446
"Stage_IVB-Stage_I",5023.99360465115,-11582.9154792506,21630.9026885529,0.999076682196022
"Stage_II-Stage_IA",-24571.3958823529,-48194.8592542805,-947.932510425409,0.0327656757145404
"Stage_IIA-Stage_IA",-22427.015505618,-45513.5118366994,659.480825463437,0.0665748396064246
"Stage_IIB-Stage_IA",-25250.5375,-50918.2273722478,417.15237224779,0.0589347857916088
"Stage_IIC-Stage_IA",-33562.4300000001,-66029.7749084558,-1095.0850915444,0.0351045438862104
"Stage_III-Stage_IA",-21328.5,-45679.0086813418,3022.00868134179,0.15785708521539
"Stage_IIIA-Stage_IA",-25762.2233333333,-52271.6994428886,747.252776221994,0.0663288038684928
"Stage_IIIB-Stage_IA",-22700.4347727273,-45917.7338294867,516.864284032141,0.0625656353351216
"Stage_IIIC-Stage_IA",-24726.7668,-48139.3021691224,-1314.23143087764,0.0275042358872128
"Stage_IV-Stage_IA",-23954.8940909091,-47428.7456768694,-481.042504948793,0.0404112399275385
"Stage_IVA-Stage_IA",-23109.02,-46773.4607893195,555.420789319476,0.0633181878058857
"Stage_IVB-Stage_IA",-18967.755,-47085.300484154,9149.790484154,0.568551567951438
"Stage_IIA-Stage_II",2144.38037673497,-3932.28393234214,8221.04468581208,0.995628593927478
"Stage_IIB-Stage_II",-679.141617647041,-13437.2699936302,12078.9867583361,0.999999999999688
"Stage_IIC-Stage_II",-8991.03411764718,-32614.4974895747,14632.4292542804,0.991074526826744
"Stage_III-Stage_II",3242.89588235295,-6600.21385595019,13086.0056206561,0.997781431633589
"Stage_IIIA-Stage_II",-1190.82745098037,-15567.6094234268,13185.954521466,0.999999999849986
"Stage_IIIB-Stage_II",1870.96110962567,-4685.1438141212,8427.06603337254,0.999503037759986
"Stage_IIIC-Stage_II",-155.370917647053,-7372.45818957203,7061.71635427792,1
"Stage_IV-Stage_II",616.501791443852,-6797.08334395905,8030.08692684675,0.999999999842192
"Stage_IVA-Stage_II",1462.37588235295,-6534.20427114914,9458.95603585504,0.999996987455103
"Stage_IVB-Stage_II",5603.64088235295,-11558.4073734248,22765.6891381307,0.997973511679197
"Stage_IIB-Stage_IIA",-2823.52199438201,-14557.5805769143,8910.53658815033,0.999924753568673
"Stage_IIC-Stage_IIA",-11135.4144943821,-34221.9108254636,11951.0818366993,0.935901046912632
"Stage_III-Stage_IIA",1098.51550561798,-7375.27352176002,9572.30453299597,0.99999995618758
"Stage_IIIA-Stage_IIA",-3335.20782771534,-16811.4888816075,10141.0732261768,0.999896564854725
"Stage_IIIB-Stage_IIA",-273.419267109301,-4504.35331663212,3957.51478241352,0.999999999993863
"Stage_IIIC-Stage_IIA",-2299.75129438202,-7496.3501677621,2896.84757899806,0.967035169183226
"Stage_IV-Stage_IIA",-1527.87858529112,-6994.09626482973,3938.33909424749,0.999602744460864
"Stage_IVA-Stage_IIA",-682.004494382025,-6916.07100923548,5552.06202047144,0.999999994821437
"Stage_IVB-Stage_IIA",3459.26050561797,-12955.7993935685,19874.3204048044,0.999983742982335
"Stage_IIC-Stage_IIB",-8311.89250000013,-33979.5823722479,17355.7973722476,0.998136220978166
"Stage_III-Stage_IIB",3922.03749999999,-10136.735242077,17980.810242077,0.999610957410872
"Stage_IIIA-Stage_IIB",-511.685833333329,-18046.0561264562,17022.6844597895,1
"Stage_IIIB-Stage_IIB",2550.10272727271,-9439.25895149347,14539.4644060389,0.999981880209247
"Stage_IIIC-Stage_IIB",523.770699999988,-11839.4259086312,12886.9673086312,1
"Stage_IV-Stage_IIB",1295.64340909089,-11183.279871904,13774.5666900858,0.99999999732936
"Stage_IVA-Stage_IIB",2141.51749999999,-10692.3274361239,14975.3624361239,0.999999007110894
"Stage_IVB-Stage_IIB",6282.78249999999,-13599.3245821665,26164.8895821665,0.998548295045088
"Stage_III-Stage_IIC",12233.9300000001,-12116.5786813417,36584.4386813419,0.914156750565113
"Stage_IIIA-Stage_IIC",7800.20666666681,-18709.2694428885,34309.6827762221,0.999311056424874
"Stage_IIIB-Stage_IIC",10861.9952272728,-12355.3038294866,34079.2942840323,0.948988373394244
"Stage_IIIC-Stage_IIC",8835.66320000012,-14576.8721691222,32248.1985691225,0.991745129129508
"Stage_IV-Stage_IIC",9607.53590909103,-13866.3156768693,33081.3874950513,0.982893690340797
"Stage_IVA-Stage_IIC",10453.4100000001,-13211.0307893194,34117.8507893196,0.967523052376534
